goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
0,0,0,2,66.67,5,100.0,0,0.0,0,0,71.88,7,87.5,1440,4,0,0,16,54,34,19,18,2,13,12,10,13,16,0,414,2,0,0.0,130,45.45,0,24,1,0,0,0,0,0.0,0,0,,1,4,0,Marcos Felipe,Eyüpspor,358524,7040
1,3,0,16,57.14,25,65.79,2,66.67,9,1,86.85,41,62.12,1036,6,7,1,13,0,0,0,8,1,0,0,0,0,66,2,535,4,1,50.0,37,46.25,11,67,4,0,4,2,0,25.0,0,0,0.76,0,0,1,Stefan Savić,Trabzonspor,76265,3051
4,2,0,69,47.92,25,56.82,28,58.33,14,7,77.98,94,50.0,1180,27,26,20,15,0,0,0,10,0,0,0,0,0,134,5,262,29,14,33.33,11,55.0,2,5,11,0,40,18,7,10.0,4,3,5.58,0,0,0,Barış Alper Yılmaz,Galatasaray,904096,3061
0,2,0,43,66.15,38,60.32,7,87.5,24,1,90.02,81,63.28,1503,12,8,5,17,0,0,0,12,0,0,0,0,0,132,3,974,9,5,26.32,56,53.33,16,61,9,1,12,1,2,0.0,1,2,0.85,0,2,0,Abdülkerim Bardakcı,Galatasaray,178963,3061
1,2,1,59,59.0,17,54.84,5,62.5,29,2,88.92,76,58.02,1268,25,29,5,15,0,0,0,7,0,0,0,0,0,162,3,602,17,16,28.57,34,60.71,14,16,6,1,16,7,2,6.25,1,1,1.05,1,0,1,Roland Sallai,Galatasaray,355088,3061
2,4,0,78,51.32,5,27.78,33,46.48,12,5,80.73,83,48.82,948,33,11,17,13,0,0,0,14,2,0,0,0,0,89,8,264,18,3,20.0,12,80.0,7,7,8,3,36,14,7,5.56,0,1,2.95,0,0,0,Drissa Camara,Gaziantep FK,958167,5138
8,1,0,35,43.21,74,59.2,5,27.78,3,1,66.34,109,52.91,1511,31,14,13,17,0,0,0,23,5,0,0,0,0,77,2,205,14,2,66.67,5,55.56,2,14,7,5,44,16,9,18.18,0,12,5.69,0,0,0,Umut Nayir,Konyaspor,284767,3085
0,1,0,35,74.47,20,43.48,3,75.0,27,2,87.55,55,59.14,1395,5,5,2,16,0,0,0,17,2,0,0,0,0,91,1,816,10,0,0.0,91,60.67,20,80,5,2,6,3,0,0.0,0,0,0.92,1,0,0,Arseniy Batagov,Trabzonspor,981395,3051
7,2,0,26,44.83,3,60.0,9,42.86,10,1,87.5,29,46.03,773,7,5,9,14,0,0,0,13,3,0,0,0,0,87,3,245,16,9,31.03,5,45.45,6,4,6,2,36,15,9,19.44,0,2,4.06,0,0,0,Ernest Muçi,Trabzonspor,924670,3051
3,1,0,22,44.0,16,64.0,5,62.5,11,0,89.57,38,50.67,734,6,8,9,11,0,0,0,2,0,0,0,0,0,115,3,335,12,7,30.43,13,59.09,2,19,8,0,6,3,1,50.0,0,1,0.69,0,0,0,Eren Elmalı,Galatasaray,981483,3061
2,1,0,45,47.37,11,37.93,11,50.0,20,2,85.74,56,45.16,1058,14,16,11,17,0,0,0,9,0,0,0,0,0,189,5,487,38,33,41.77,26,68.42,10,15,12,1,18,5,5,11.11,0,1,1.03,0,0,1,Gabriel Sara,Galatasaray,913593,3061
12,0,0,42,41.58,22,32.35,22,56.41,13,3,75.95,64,37.87,1497,8,12,21,17,0,0,0,14,3,0,0,0,0,130,3,281,19,1,16.67,11,84.62,1,6,11,6,56,27,11,21.43,1,6,7.34,0,0,1,Eldor Shomurodov,Başakşehir FK,791355,3086
0,1,0,7,77.78,4,80.0,0,0.0,2,0,73.54,11,78.57,1530,5,0,0,17,52,34,16,15,0,11,7,5,7,5,0,264,0,0,0.0,65,42.21,0,13,2,0,0,0,0,0.0,0,0,,0,1,0,Ertuğrul Taşkıran,Alanyaspor,105974,6362
3,0,0,3,30.0,11,84.62,0,0.0,2,0,26.67,14,60.87,95,2,5,2,6,0,0,0,0,1,0,0,0,0,3,0,4,0,0,0.0,1,50.0,1,2,0,0,5,3,0,60.0,0,1,1.21,0,0,0,Bertuğ Yıldırım,Başakşehir FK,1382235,3086
0,2,0,2,66.67,6,85.71,0,0.0,2,0,78.37,8,80.0,1530,0,0,0,17,69,46,22,31,1,6,24,14,26,7,0,424,1,0,0.0,68,38.42,1,38,1,0,0,0,0,0.0,0,0,,0,1,0,Ivo Grbić,Fatih Karagümrük,283847,4954
0,1,0,4,80.0,7,100.0,1,100.0,0,0,76.05,11,91.67,1260,7,0,0,14,36,19,17,9,0,7,9,9,9,28,0,400,1,0,0.0,106,46.49,0,21,1,0,0,0,0,0.0,0,0,,0,1,0,Uğurcan Çakır,Galatasaray,754330,3061
1,4,0,48,58.54,2,28.57,2,50.0,31,3,90.56,50,56.18,1279,15,15,2,16,0,0,0,9,0,0,0,0,0,186,2,787,15,1,20.0,67,70.53,12,17,17,1,16,6,1,6.25,1,1,0.62,0,1,0,Lucas Torreira,Galatasaray,754794,3061
2,1,0,7,35.0,6,42.86,1,33.33,4,0,72.55,13,38.24,277,2,5,3,4,0,0,0,2,0,0,0,0,0,14,2,74,7,3,21.43,8,61.54,0,3,3,1,9,4,1,22.22,0,1,1.35,0,0,0,Güray Vural,Antalyaspor,43559,3056
